ID,Product Name,Ailment / Condition,Question to Engage,Benefits to Desired Outcomes,Key Benefits,Category,Price Options,SKU
59,Brain Youth Formula Capsules,Brain Health,"""Are you concerned about cognitive decline or want to maintain youthful brain function?"" ""Are you looking for advanced support to keep your mind sharp and clear as you age?""","""Our special blend will keep your mind sharp. Brain Youth Formula Capsules are vital for advanced cognitive support and youthful brain function!""","""Supports youthful brain function. Enhances memory and recall. Improves focus and concentration. Protects brain cells from damage. Aids in cognitive processing speed. Uses advanced ingredients for brain health.""",Brain Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-BRA-059
60,Women’s Fertility Support Capsules,Women’s Fertility,"""Are you on a fertility journey and looking for natural support?"" ""Do oyou want to enhance your reproductive health and optimize your chances of conception?""","""Nourish your journey with our propriatary blend. Women's Fertility Support Capsules offer comprehensive support for reproductive health and conception!""","""Supports female reproductive health. Balances hormones for fertility. Optimizes cycle regularity. Enhances chances of conception. Provides essential nutrients for prenatal readiness. Aids in overall reproductive wellness.""",Women's Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-WOM-060
61,Men’s Fertility Support Capsules,Men’s Fertility,"""Are you and your partner on a fertility journey, and you're looking for natural support?"" ""Want to enhance male reproductive health and optimize your chances of conception?""","""Our formula will boost your potential. Men's Fertility Support Capsules provide a comprehensive support for reproductive health and conception!""","""Supports male reproductive health. Enhances sperm count and motility. Improves sperm quality. Optimizes fertility parameters. Provides essential nutrients for reproductive function. Aids in overall reproductive wellness.""",Men's Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-MEN-061
62,Complete Wellness Pack Capsules,General Wellness / Comprehensive,"""Are you looking for an all-in-one solution for your daily nutritional needs and overall well-being?"" ""Want comprehensive support for energy, immunity, and vitality?""","""You can fully embrace complete wellness with Complete Wellness Pack Capsules for all-in-one daily support!""","""Provides comprehensive daily nutritional support. Boosts energy and vitality. Strengthens immunity. Supports digestion and gut health. Contributes to overall well-being. Convenient all-in-one solution.""",General Wellness,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-GEN-062
63,Acai Berry Powder,Antioxidant / Energy,"""Are you looking for a powerful superfood to boost your energy and antioxidant intake?"" ""Do you want an easy way to add a burst of nutrients to your smoothies or meals?""","""Supercharge your day with Acai Berry Powder today for a powerful antioxidant boost and natural energy!""","""Provides powerful antioxidant support. Boosts energy and vitality. Supports overall health and well-being. Rich in essential nutrients. Easy to incorporate into diet. Aids in cellular protection.""",General Wellness,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-GEN-063
64,Aloe Vera Capsules,Digestive Health / Soothing,"""Are you experiencing digestive discomfort and looking for natural soothing support?"" ""Do you want to promote digestive health and internal cleansing?""","""Soothe your system naturally with Aloe Vera Capsules for digestive comfort and internal cleansing!""","""Soothes digestive tract. Promotes internal cleansing. Supports digestive health. Aids in regularity. Reduces discomfort. Has natural anti-inflammatory properties.""",Digestive Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-DIG-064
65,Anti Aging Cream,Skin Health / Anti-Aging,"""Are you looking to visibly reduce the signs of aging and achieve smoother, more youthful-looking skin?"" ""Want to hydrate and firm your skin for a radiant complexion?""","""Rejuvenate your skin. Try our Anti Aging Cream today for a visibly younger and more radiant complexion!""","""Reduces appearance of fine lines and wrinkles. Firms and tightens skin. Hydrates and moisturizes. Promotes a radiant complexion. Supports skin elasticity. Combats signs of aging externally.""",Skin and Beauty,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-SKI-065
66,Apple Cider Vinegar Capsules,Digestive Health / Metabolism,"""Looking for natural support for digestion, weight management, and metabolism?"" ""Want to enjoy the benefits of apple cider vinegar without the strong","""Apple Cider Vinegar supports metabolism, appetite control, and healthy digestion.""","""Boosts metabolism, aids digestion, supports weight management""",Digestive Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-DIG-066
67,Product Name,Ailment / Condition,Question to Engage,Benefits to Desired Outcomes,Key Benefits,Category,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-CAT-067
68,BERBERINE Capsules,Blood Sugar Management / Metabolism,"""Are you looking for natural support to help manage your blood sugar levels?"" ""Want to support your metabolism and overall cardiovascular health?""","""Berberine Capsules help you achieve balanced blood sugar levels and support metabolic health, contributing to overall well-being.""","""Supports healthy blood sugar levels. Aids in metabolic function. Promotes cardiovascular health. Helps regulate cholesterol. Has anti-inflammatory properties.""",General Wellness,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-GEN-068
69,GOLDENSEAL CAPSULES,Immune Support / Anti-inflammatory,"""Are you looking for natural support for your immune system and its anti-inflammatory properties?"" ""Do you want to aid your body's natural defense mechanisms?""","""Goldenseal Capsules help you achieve robust immune support and benefit from natural anti-inflammatory properties, contributing to overall well-being.""","""Supports immune system function. Has natural anti-inflammatory properties. Possesses natural antibiotic properties. Aids in digestive health. Supports mucous membranes.""",Immune Support,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-IMM-069
70,COLLAGEN POWDER,Skin / Hair / Nails / Joints,"""Do you want to support youthful skin, strong hair and nails, and healthy joints?"" ""Are you looking for a versatile supplement to promote overall beauty and mobility?""","""Collagen Powder helps you achieve youthful skin, strong hair and nails, and healthy joints by supporting collagen production throughout your body.""","""Improves skin elasticity and hydration. Strengthens hair and nails. Supports joint health and flexibility. Aids in muscle repair and recovery. Promotes gut health.""",Skin and Beauty,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-SKI-070
71,L THEANINE Capsules,Stress / Relaxation / Focus,"""Are you feeling stressed or anxious and looking for a natural way to promote relaxation without drowsiness?"" ""Do you want to improve focus and mental clarity?""","""L-Theanine Capsules help you achieve a state of calm relaxation and enhanced focus, promoting mental clarity without drowsiness.""","""Promotes relaxation without drowsiness. Reduces stress and anxiety. Improves focus and concentration. Enhances mood. Supports cognitive function. Aids in restful sleep.""",Stress and Mood,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-STR-071
72,L ARGINIE GUMMIES,Blood Flow / Performance,"""Are you looking to support healthy blood flow, cardiovascular function, and athletic performance?"" ""Do you want to enhance your energy and endurance naturally?""","""L-Arginine Gummies help you achieve improved blood flow and enhanced athletic performance by supporting cardiovascular function and energy production.""","""Supports healthy blood flow and circulation. Enhances athletic performance and endurance. Promotes cardiovascular health. Aids in muscle growth and repair. Boosts nitric oxide production. Delicious and easy to take.""",Men’s Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-MEN-072
73,BIOTIN Capsules,Hair / Skin / Nails / Metabolism,"""Do you want to support healthy hair, skin, and nails, and boost your metabolism?"" ""Are you looking for a key nutrient for overall beauty and energy?""","""Biotin Capsules help you achieve healthier hair, skin, and nails, and support a more efficient metabolism, contributing to overall vitality.""","""Promotes healthy hair growth. Strengthens nails. Improves skin health. Supports metabolism of fats, carbs, and proteins. Aids in energy production. Essential B vitamin.""",Skin and Beauty,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-SKI-073
74,BCAA 5000 Capsules,Muscle Recovery / Growth,"""Are you an athlete or active individual looking to support muscle recovery and growth?"" ""Do you want to reduce muscle soreness and enhance your workout performance?""","""BCAA 5000 Capsules help you achieve faster muscle recovery and enhanced muscle growth by providing essential branched-chain amino acids.""","""Supports muscle recovery after exercise. Promotes muscle growth and repair. Reduces muscle soreness. Enhances athletic performance. Provides essential branched-chain amino acids (BCAAs). Aids in reducing muscle breakdown.""",Sports Nutrition,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-SPO-074
75,IODINE CAPSULES,Thyroid Health / Metabolism,"""Are you concerned about your thyroid health or looking to support a healthy metabolism?"" ""Do you want to ensure your body is getting essential iodine for optimal function?""","""Iodine Capsules help you achieve optimal thyroid function and a healthy metabolism by providing essential iodine for your body's needs.""","""Supports healthy thyroid function. Essential for hormone production. Aids in metabolism and energy production. Contributes to cognitive function. Supports overall growth and development. Important trace mineral.""",Thyroid Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-THY-075
76,POTASSIUM CAPSULES,Electrolyte Balance / Muscle Function,"""Are you looking to maintain healthy electrolyte balance and support proper muscle and nerve function?"" ""Do you want to ensure you're getting enough potassium for overall well-being?""","""Potassium Capsules help you achieve healthy electrolyte balance and optimal muscle and nerve function, contributing to overall well-being.""","""Maintains healthy electrolyte balance. Supports proper muscle function. Aids in nerve signal transmission. Contributes to cardiovascular health. Helps regulate fluid balance. Essential mineral.""",General Wellness,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-GEN-076
77,TANTIVA CAPSULES,Prostate Health / Urinary,"""As a man, are you looking for natural support for prostate health and urinary function?"" ""Do you want to maintain a healthy prostate as you age?""","""Tantiva Capsules help you achieve optimal prostate health and comfortable urinary function, supporting your well-being as you age.""","""Supports prostate health. Aids in healthy urinary function. Reduces frequent urination. Promotes comfortable bladder emptying. Contributes to overall male vitality. Uses natural ingredients for prostate support.""",Men’s Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-MEN-077
78,Product Name,Ailment / Condition,Question to Engage,Call to Action,Benefits to Desired Outcomes,Key Benefits,Category,SKU-KEY-078
79,Kid’s Calm Gummies,Childhood Calm / Anxiety,"""Is your child experiencing restlessness or difficulty settling down? Looking for a gentle way to promote calm and focus for your little one?""","""Help your child find their calm. Try Kid's Calm Gummies today for a peaceful and focused day!"" ""Support your child's serenity naturally. Ask about Kid’s Calm Gummies now!""","""Promotes calmness and relaxation in children. Supports focus and attention. Gently soothes restlessness and hyperactivity. Aids in emotional balance. Delicious and easy for kids to take. Uses natural calming ingredients.""",Kids' Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-KID-079
80,Anti-Aging Complex Capsules,Anti-Aging / Youth,"""Are you looking to combat the visible signs of aging and rejuvenate from within?"" ""Do you want to support cellular health and promote a youthful appearance?""","""Defy the signs of time. Get Anti-Aging Complex Capsules to rejuvenate from within and promote youthful vitality!"" ""Unlock your inner youth. Ask about Anti-Aging Complex Capsules now!""","""Combats signs of aging. Supports cellular regeneration. Promotes youthful skin, hair, and nails. Boosts vitality and energy. Reduces oxidative stress. Uses powerful antioxidants and anti-aging compounds.""",Healthy Aging,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-HEA-080
81,Eye Defense Gummies,Eye Health / Vision,"""Are you concerned about your vision or screen time's impact on your eyes? Do you want to protect your eyes and support clear vision?""","""Protect your precious sight. Try Eye Defense Gummies today for delicious support for healthy eyes and clear vision!"" ""Guard your vision naturally. Ask about Eye Defense Gummies now!""","""Supports overall eye health. Protects against blue light and oxidative stress. Promotes clear vision. Aids in reducing eye strain and fatigue. Provides essential nutrients for retinal health. Delicious and easy to take.""",Eye Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-EYE-081
82,Kid’s Growth Formula Capsules,Childhood Growth / Development,"""Is your child growing as much as you'd expect, or do you want to ensure optimal development?"" ""Are you looking for comprehensive nutritional support for your child's healthy growth?""","""Support healthy growth. Get Kid's Growth Formula Capsules today for comprehensive nutritional support for your child's development!"" ""Nourish their future. Ask about Kid’s Growth Formula Capsules now!""","""Supports healthy growth and development in children. Aids in bone and muscle development. Provides essential vitamins and minerals for growth. Contributes to overall well-being. Supports healthy immune function. Easy to take.""",Kids' Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-KID-082
83,Detox Fiber Cleanse Capsules,Digestive Health / Cleansing,"""Are you feeling sluggish or irregular and need a gentle digestive reset?"" ""Do you want to promote regularity and support your body's natural cleansing process?""","""Our formula will reset your system naturally. Try Detox Fiber Cleanse Capsules today for gentle cleansing and improved regularity!""","""Promotes gentle detoxification. Supports digestive regularity. Aids in colon cleansing. Provides essential fiber for gut health. Reduces bloating and discomfort. Supports overall digestive wellness.""",Detox and Digestive Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-DET-083
84,Brain Youth Formula Capsules,Brain Health / Cognitive Aging,"""Are you concerned about cognitive decline or want to maintain youthful brain function?"" ""Are you looking for advanced support to keep your mind sharp and clear as age?""","""Keep your mind sharp. Get Brain Youth Formula Capsules for advanced cognitive support and youthful brain function!"" ""Unlock your brain's potential.""","""Supports youthful brain function. Enhances memory and recall. Improves focus and concentration. Protects brain cells from damage. Aids in cognitive processing speed. Uses advanced ingredients for brain health.""",Brain Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-BRA-084
85,Women’s Fertility Support Capsules,Women’s Fertility,"""Are you on a fertility journey and looking for natural support?"" ""Do you want to enhance your reproductive health and optimize your chances of conception?""","""Nourish your journey. Try Women''s Fertility Support Capsules for comprehensive support for reproductive health and conception!"" ""Optimize your potential.""","""Supports female reproductive health. Balances hormones for fertility. Optimizes cycle regularity. Enhances chances of conception. Provides essential nutrients for prenatal readiness. Aids in overall reproductive wellness.""",Women's Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-WOM-085
86,Men’s Fertility Support Capsules,Men’s Fertility,"""Are you and your partner on a fertility journey, and you're looking for natural support?"" ""Do you want to enhance male reproductive health and optimize your chances of conception?""","""Boost your potential. Get Men's Fertility Support Capsules today for comprehensive support for reproductive health and conception!"" ""Optimize your contribution. Ask about Men’s Fertility Support Capsules now!""","""Supports male reproductive health. Enhances sperm count and motility. Improves sperm quality. Optimizes fertility parameters. Provides essential nutrients for reproductive function. Aids in overall reproductive wellness.""",Men's Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-MEN-086
87,Complete Wellness Pack Capsules,General Wellness / Comprehensive,"""Are you looking for an all-in-one solution for your daily nutritional needs and overall well-being?"" ""Do you want comprehensive support for energy, immunity, and vitality?""","""Embrace complete wellness. Get the Complete Wellness Pack Capsules for all-in-one daily support!"" ","""Provides comprehensive daily nutritional support. Boosts energy and vitality. Strengthens immunity. Supports digestion and gut health. Contributes to overall well-being. Convenient all-in-one solution.""",General Wellness,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-GEN-087
88,Acai Berry Powder,Antioxidant / Energy,"""Are you looking for a powerful superfood to boost your energy and antioxidant intake?"" ""Do you want an easy way to add a burst of nutrients to your smoothies or meals?""","""Supercharge your day. Get Acai Berry Powder for a powerful antioxidant boost and natural energy!"" ","""Provides powerful antioxidant support. Boosts energy and vitality. Supports overall health and well-being. Rich in essential nutrients. Easy to incorporate into diet. Aids in cellular protection.""",General Wellness,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-GEN-088
89,Aloe Vera Capsules,Digestive Health / Soothing,"""Are you experiencing digestive discomfort?""","Glucosamine supports cartilage health, reduces joint discomfort, and promotes mobility and flexibility.","""Relieves joint pain, supports cartilage, improves mobility""",Digestive Health,,SKU-DIG-089
90,Product Name,Ailment / Condition,Question to Engage,Benefits to Desired Outcomes,Key Benefits,Category,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-CAT-090
91,BETA SITOSTEROL Capsules,Heart Health / Prostate Health / Immune,"""Looking for natural support for your heart, prostate, and immune system?"" ""Want to manage cholesterol and promote overall wellness?""","""Beta Sitosterol Capsules help you achieve a healthy heart, supported prostate, and stronger immune function, contributing to overall wellness and vitality."" ""Feel confident in your cardiovascular, urinary, and immune health.""","""Supports Heart Health: Helps manage cholesterol and maintain a healthy cardiovascular system. Promotes Prostate Health: Often used to support a healthy prostate and reduce urinary issues. Boosts Immune Function: May help regulate the immune system.""",Men's Health / Wellness,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-MEN-091
93,EXTENDIFY Capsules,Heart / Brain / Inflammation,"""Want to support your heart, enhance brain function, and reduce inflammation throughout your body?"" ""Looking for a comprehensive supplement for overall well-being?""","""EXTENDIFY Capsules help you achieve a healthier heart, sharper brain function, and reduced inflammation, promoting overall vitality and comfort."" ""Experience enhanced cognitive clarity and physical well-being.""","""Supports Heart Health: Helps to maintain healthy cholesterol levels and blood pressure. Brain Function: Crucial for cognitive function, memory, and mood. Reduces Inflammation: Known to have powerful anti-inflammatory properties that benefit the entire body""",General Wellness,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-GEN-093
94,Men's Urinary Health Capsules,Men's Urinary Health / Prostate,"""As a man, are you looking for natural support for prostate wellness and to reduce nighttime urination?"" ""Want to maintain comfortable urinary function?""","""Men's Urinary Health Capsules help you achieve prostate wellness and reduced nighttime urination, promoting comfort and better sleep quality."" ""Feel more comfortable and enjoy uninterrupted rest.""","""Promotes prostate wellness, reduces nighttime urination.""",Men's Health / Urinary,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-MEN-094
95,Pumpkin Seed Extract Capsules,Prostate Health / Bladder Control,"""Looking for natural support for prostate health and bladder control?"" ""Want to strengthen bladder muscles and reduce nighttime urination?""","""Pumpkin Seed Extract Capsules help you achieve a healthy prostate and improved bladder control, assisting in strengthening bladder muscles and reducing nighttime urination."" ""Feel more confident and comfortable with your urinary function.""","""Promotes Prostate Health: Helps to maintain a healthy prostate and reduce nighttime urination. Supports Bladder Control: Assists in strengthening the bladder muscles. Rich in Nutrients: Contains essential fatty acids, antioxidants, and minerals.""",Men's Health / Urinary,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-MEN-095
98,B3 NIACIN Capsules,High Cholesterol / Heart Disease / Memory Decline,"“Would you like natural support to improve cholesterol, protect your heart, and keep your memory sharp?”","""Niacin helps improve cholesterol balance, slows progression of certain heart conditions, and supports brain health by reducing risk of memory loss and dementia.""","""Recommended as a dietary supplement to improve cholesterol levels, slow the progression of certain types of heart disease, and even help prevent memory loss and dementia.""",Heart Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-HEA-098
101,COLLOIDAL SILVER Liquid,Weak Immune System / Frequent Infections / Skin Irritations,“Are you looking for a natural way to strengthen your immune system and support skin health?”,"""Colloidal Silver supports the body’s natural defenses, offers antimicrobial benefits to help the body fight off harmful microorganisms, and can be applied topically to soothe and promote healthy skin.""","""Supports the Immune System: Helps the body's natural defenses to function optimally. Antimicrobial Properties: Traditionally used to help fight off harmful microorganisms. Topical Skin Aid: Can be applied topically to soothe and support skin health.""",Brain Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-BRA-101
102,KRILL OIL Gelcaps,Heart Health / Joint Pain / Cognitive Support,"“Would you like natural support for a healthy heart, flexible joints, and sharper memory?”","""Krill Oil delivers omega-3 fatty acids in a highly absorbable form, supporting cardiovascular health, easing joint discomfort, and promoting brain and nervous system function.""","""Superior Absorption: Delivers omega-3s in a phospholipid form for better absorption by the body. Cardiovascular Support: Helps maintain healthy cholesterol and triglyceride levels. Promotes Joint Comfort: Supports joint flexibility and reduces stiffness.""",Heart Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-HEA-102
104,PHOSPHORUS Capsules,Weak Bones / Fatigue / Low Energy,"“Would you like natural support for stronger bones, energy, and overall vitality?”","""Phosphorus works with calcium to build strong bones and teeth, supports energy production, and helps maintain healthy cell function.""","""Medical conditions that cause intestinal malabsorption may also develop low phosphorus levels which can result in malnutrition.""",Nutritional Support,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-NUT-104
105,CDP CHOLINE Capsules,Cognitive Decline / Memory Issues,“Would you like sharper memory and clearer focus throughout the day?”,"""CDP Choline is known to support brain function, memory retention, and focus by aiding neurotransmitter activity.""","""Enhances memory recall and focus, repairs neuronal membranes, supports brain cell regeneration, and protects against age-related cognitive decline, increases acetylcholine and other neurotransmitters crucial for learning, alertness, and mental processing, aids neurological recovery after strokes and traumatic brain injuries.",Brain Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-BRA-105
106,SAW PALMETTO Capsules,Prostate Health / Urinary Function,"""As a man, are you looking for natural support for prostate health and urinary function?"" ""Want to maintain a healthy prostate as you age?""","""SAW PALMETTO Capsules help you achieve optimal prostate health and comfortable urinary function, supporting your well-being as you age."" ""Feel more comfortable and enjoy uninterrupted rest.""","""Promotes Prostate Health: Helps maintain a healthy prostate gland and may reduce urinary frequency. Supports Urinary Function: Can aid in improving urinary flow and bladder emptying. Hair Health: May help to slow down hair loss in some individuals.""",Men’s Health / Urinary,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-MEN-106
110,ASTRAGULUS Capsules,Immune Weakness / Seasonal Flu,Do you want stronger protection against seasonal illness?,"Enhances immune system, fights colds, supports antioxidant defense.","Strengthens immunity, reduces duration of colds, boosts energy",Immune Support,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-IMM-110
111,COLOSTRUM Capsules,Digestive,"""Did you know that COLOSTRUM Capsules can help regulate your immune system and offer natural anti-inflammatory and antibiotic benefits?","""Feel the difference that a regulated immune system and natural anti-inflammatory and antibiotic properties can make. COLOSTRUM Capsules are designed to help you feel your best, supporting your body against various threats.""","COLOSTRUM Capsules offer key benefits for your health. They regulate your immune system, and are packed with natural anti-inflammatory and natural antibiotic properties.""
""With COLOSTRUM Capsules, you get comprehensive support for your immune system and digestive health. Experience the benefits of bovine colostrum's antiviral properties and its effectiveness in treating digestive infections.""",Digestive Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-DIG-111
113,THYROID SUPPORT Capsules,Low Energy / Thyroid Imbalance,“Do you ever feel fatigued or struggle with thyroid balance?”,"""A blend of nutrients and herbs that help regulate thyroid function, boost energy, and support metabolism.""","""Balances thyroid function, aids weight management, helps sustain energy throughout the day.""",Hormonal Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-HOR-113
114,Magnesium Bisglycinate Capsules,Brain / Memory,"""Did you know that a highly absorbable magnesium can support your relaxation and muscle function?"" ""Want to experience the benefits of magnesium for overall well-being?""","""Our Magnesium Bisglycinate Capsules help you achieve better relaxation, muscle function, and overall nervous system health with a highly absorbable form of magnesium."" ""Feel the difference that supported relaxation, muscle function, and overall nervous system health can make. Magnesium Bisglycinate Capsules are designed to help you feel your best every day.""","""Calms the Nervous System: Helps to reduce feelings of stress and promotes a sense of relaxation. Improves Sleep Quality: Aids in relaxing the mind and body, contributing to a more restful night's sleep. Supports Muscle and Nerve Function: Essential for proper muscle contraction and nerve signal transmission.""",Brain Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-BRA-114
116,HYALURONIC ACID Capsules,Skin Health / Anti-Aging / Joint Health,"Looking to improve your skin's hydration and elasticity, or support joint health?","HYALURONIC ACID Capsules help you achieve improved skin hydration, elasticity, and joint comfort by supporting collagen production and tissue health. Feel more confident in your skin and enjoy greater flexibility.        ","""Helps with soft tissue growth, prompts your body to make more collagen and elastin, keeps your skin moisturized, prevents tightness, boosts elasticity, and reduces scarring, helps lessen the appearance of fine lines and wrinkles, lowers inflammation and speed up healing from surgery.""",Anti-Aging,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-ANT-116
118,Ailment / Condition,Product Name,Question to Engage,Benefits to Desired Outcomes,Key Benefits,Category,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-CAT-118
120,PROBIOTIC Capsules,Digestive Health / Immune Support,"""Looking to support your digestive health and boost your immune system?"" ""Want to promote a healthy gut microbiome and improve nutrient absorption?""","""PROBIOTIC Capsules help you achieve improved digestive health, a stronger immune system, and better nutrient absorption by promoting a healthy and balanced gut microbiome."" ""Feel more comfortable and energized with a healthy gut.""","""Supports Digestive Health: Promotes a healthy and balanced gut microbiome, aiding in digestion. Boosts Immune Function: A healthy gut is closely linked to a strong immune system. Improves Nutrient Absorption: Aids the body in absorbing vitamins and minerals from food.""",Immune Support,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-IMM-120
122,GARCINIA CAMBOGIA Capsules,Weight Management / Appetite Control,“Are you looking for help with appetite control and natural weight management?”,"""Garcinia Cambogia may help reduce appetite, block fat production, and support healthy weight goals.""","""Reduces Appetite: The active compound, HCA, helps to promote feelings of fullness. Blocks Fat Production: May inhibit an enzyme the body uses to create fat from carbohydrates. Boosts Metabolism: Helps to increase the body's metabolic rate, aiding in calorie burning.""",Weight Management,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-WEI-122
123,CHAMOMILE TEA CAPSULES,Bad Sleep,"""Feeling stressed or having trouble sleeping? Looking for a natural way to calm your nerves and reduce tension?"" ""Want a gentle supplement to promote relaxation and restful sleep?""","""CHAMOMILE TEA CAPSULES help you achieve a state of calm, promote restful sleep, and reduce tension and anxiety by providing the soothing benefits of chamomile."" ""Feel more relaxed and enjoy better sleep quality.""","""Calms nerves, promotes sleep, reduces tension, stress and anxiety.""",Stress and Sleep,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-STR-123
124,Yohimbe Capsules,Low Libido / Circulation Issues / Energy,"“Would you like natural support for energy, circulation, and performance?”","""Yohimbe promotes healthy circulation, enhances stamina, and supports male sexual wellness.""","""Supports Male Sexual Health: Traditionally used to help improve libido and erectile function. Aids in Fat Loss: May help the body to burn stubborn fat by increasing blood flow to fat cells. Boosts Energy and Performance: Can act as a stimulant, increasing energy levels and exercise performance. ",Men's Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-MEN-124
125,Ailment / Condition,Product Name,Question to Engage,Benefits to Desired Outcomes,Key Benefits,Category,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-CAT-125
126,GINKO BILOBA Capsules,Cognitive Function / Blood Flow / Antioxidant,"""Are you looking to enhance your memory and focus, or improve circulation to your brain?"" ""Want to protect your brain cells from damage and maintain mental clarity?""","""GINKGO BILOBA Capsules help you achieve enhanced memory and focus, improved blood flow to the brain, and strong antioxidant protection."" ""Experience sharper thinking and better overall cognitive health.""","""Enhances Cognitive Function: May help improve memory, focus, and mental clarity. Supports Healthy Blood Flow: Helps to improve circulation throughout the body, especially to the brain. Potent Antioxidant: Protects brain cells and nerves from oxidative damage.""",Brain Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-BRA-126
128,Seamoss Capsules,Mineral Rich / Thyroid Health / Digestion,"""Are you looking for a natural source of essential minerals, or want to support your thyroid and digestion?"" ""Interested in a superfood that benefits multiple aspects of your health?""","""Seamoss Capsules help you achieve optimal mineral intake, supported thyroid function, and improved digestion by providing a rich array of essential nutrients."" ""Feel more energized and balanced from within.""","""Rich in Minerals: Contains a wide array of essential minerals, including iodine, potassium, and calcium. Supports Thyroid Health: The high iodine content helps to support healthy thyroid function. Aids in Digestion: Acts as a prebiotic, promoting the growth of healthy gut bacteria for improved digestion.""",General Wellness,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-GEN-128
132,CREATINE MONOHYDRATE Powder,Low Strength / Athletic Performance / Muscle Recovery,"“Are you looking to boost strength, build lean muscle, and recover faster from workouts?”","""Creatine Monohydrate enhances the body’s ability to generate energy quickly, supporting short bursts of high-intensity activity. It promotes lean muscle growth and reduces exercise-induced muscle damage for faster recovery.""","""Boosts Strength and Power: Increases the body's ability to produce energy quickly, leading to improved performance in short bursts of activity. Enhances Muscle Growth: Helps to increase muscle mass and size by promoting protein synthesis. Speeds Up Recovery: Aids in muscle recovery and reduces exercise-induced muscle damage.""",Men's Health,$79 Monthly / $199 3-Month / $299 6-Month / $499 Annual,SKU-MEN-132
